authorId,authorProfile,author,dateCreated,text
100017994483618,https://www.facebook.com/people/%D8%AD%D9%8A%D8%AF%D8%B1-%D8%AD%D8%B3%D9%8A%D9%86/100017994483618/,حيدر حسين,2022-10-18T14:25:42.000Z,رونالدو ليس ضمن المرشحين للكرة الذهبية انا قلق على مستقبله💔😔
100004104392347,https://www.facebook.com/mhmd.srhan.52,احمد حسن الشرعان السرحان,2022-10-18T13:54:35.000Z,ثلاث كرات ذهبيه
100083615011856,https://www.facebook.com/people/%D9%83%D9%88%D9%85%D9%8A%D9%83-%D8%A8%D9%8A%D8%AA%D9%8A%D8%B3%D9%8A-comik-Bitisi/100083615011856/,كوميك بيتيسي comik Bitisi,2022-10-18T13:45:42.000Z,"هناك حقيقة واحدة لا يمكن تغييرها ب""هاهاها"" وهي أن بيتيس ملك أوروبا وسيدها الأول و الأخير 👌🏻👑
 كل بيتيسي يحط قلب و يتابعنا لمزيد من التطبيل للنادي الاخضر و شكرا 💚😌"
100050434073471,,آحہمہد عہمہر,2022-10-18T14:23:54.000Z,شاهد قبل الحذف رمونتادا برشلونة التي لم تنقلها بين سبورت
100038171646796,https://www.facebook.com/people/Hussein-Sadeq/100038171646796/,Hussein Sadeq,2022-10-18T13:43:59.000Z,حقيقية والله 🔥👌
100009016185675,https://www.facebook.com/people/Muneef-ALobaidy/100009016185675/,Muneef ALobaidy,2022-10-18T12:32:07.000Z,بسبب هذا التصريح لكريم بنزيمة لحد هذه لحظة رونالدو لم يبارك لكريم
100013002409031,https://www.facebook.com/lebcir.haitem,Haitem Louai Eddine,2022-10-18T12:35:52.000Z,الكذب حرام الكرة الذهبية أكبر منه
100017994483618,https://www.facebook.com/people/%D8%AD%D9%8A%D8%AF%D8%B1-%D8%AD%D8%B3%D9%8A%D9%86/100017994483618/,حيدر حسين,2022-10-18T12:36:22.000Z,ميسي ماموجود ضمن المرشحين هذا ظلم
100082993886245,https://www.facebook.com/Portosarcasm,Porto sarcasm,2022-10-18T12:23:03.000Z,"هناك حقيقة واحدة لا يمكن تغييرها ب""هاهاها"" وهي أن العريق بورتو ملك أوروبا وسيدها الأول و الأخير 👌🏻👑"
100012325150921,https://www.facebook.com/people/%D8%AD%D8%B4%D9%86-%D9%88%D9%84-%D8%AD%D8%B4%D9%86/100012325150921/,حشن ول حشن,2022-10-18T12:23:42.000Z,الكرة الذهبية فقدت مصداقيتها
100031921083522,https://www.facebook.com/mohamed.djouder.90,Mohamed Djouder,2022-10-18T13:44:02.000Z,أخوها:
100083466552167,https://www.facebook.com/people/Real-Blanco-Madrid/100083466552167/,Real Blanco Madrid,2022-10-18T12:28:11.000Z,وهذا لا ينسينا ان جحشلونة سيلعب في الدوري الأوروبي
100014864086921,https://www.facebook.com/moustafa.alahmed.71,Moustafa Alahmed,2022-10-18T12:32:34.000Z,بنزيما بعد ما اصابو الغرور بسبب البالون دور
100059203741160,https://www.facebook.com/baubch,ﻋﹷﹻﻟﹷﹻﻲ ﹺٰ؍,2022-10-18T12:23:04.000Z,الف مبروك الغريم التقليدي بنزيما عله الكره الخشبيه
100049332068869,https://www.facebook.com/abdsamad.rajawi.587268,Ãbd Sãmäd Râjáwï,2022-10-18T12:24:59.000Z,اخت رونالدو  ؛ الرجال لا يفوزون بالكرة الذهبية
100086853703587,https://www.facebook.com/people/%D8%A7%D9%8A%D9%81%D8%B1%D8%AA%D9%88%D9%86-%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/100086853703587/,ايفرتون بالعربية,2022-10-18T13:00:17.000Z,لسنا افضل الصفحات ولا اشهرها ولا نطمح لذلك لا تتابعونا
