index,authorId,authorProfile,author,dateCreated,text
0,100002740010761,https://www.facebook.com/kaoutar.tahir,KaoIsr Tah,2022-10-03T08:07:26.000Z,كلام يثلج الصدر، أنا أيضا تركت عملي كمهندسة لأنني لست مضطرة ولأنه عندي عمل أعظم وأسمى ألا وهو تربية الأبناء ورعايتهم اللهم أعنا على ذلك
0,100079251169034,https://www.facebook.com/people/Zouhir-Ahmed/100079251169034/,Zouhir Ahmed,2022-10-03T09:00:42.000Z,هنيئا لها بهذا الاقتناع فلا شك ولا ريب ان قرارها في بيتها وخدمة زوجها واولادها من انبل واشرف الاعمال فستحظى بحريتها داخل بيتها فهي امام مسؤولية عظمى فلا تسوي بين عملها داخل وخارج بيتها فنحن ايضا مررنا بهذا في حياتنا فكان الفشل وعدم الاستمرارية انسأل الله الكربم ان يمتعها بقرارها ويسعدكم ويصلح ذريتكم انه بكل شئ كفيل سبحانه من ترك شيئا لله عوضه الله احسن منه فتحياتنا لكم .
0,100007914434839,,مريم حبة,2022-10-03T11:10:05.000Z,"شخصيا أرى أنه لا يجب أن نطلق أحكاما عامة على عمل المرأة. فذلك مرتبط بكل أسرة على حدة. و لكن سأعطي مثالا صغيرا. فشخصيا عندما أصاب بمرض أو في فترة الحمل مثلا فأنا أبحث عن طبيبة لأني سأجد راحتي أكثر و لن أحس بالحرج عند السؤال. و إذا ما اتبعت كل الطبيبات كلامك، فلن نجد طبيبة.
أحترم قرار زوجتك، بالتوفيق لها. أنا فقط ضد أن نحكم على الجميع بمنظور واحد و ضد أن ننقص من قيمة النساء العاملات. بالتوفيق للجميع."
0,100013908671949,https://www.facebook.com/people/%D8%B7%D8%A7%D8%B1%D9%82-%D9%86%D8%A7%D8%AC%D9%8A%D8%B1/100013908671949/,طارق ناجير,2022-10-03T05:56:27.000Z,بارك الله فيكم
0,100027504905983,https://www.facebook.com/fatima.beella.71,Fatima Beella,2022-10-03T20:56:15.000Z,الله يرزقكم الذرية الصالحة ولكل قاعدة استثناء هناك من تستطيع الجمع بين العمل في البت وخارجه وعملها موافق الضوابط الشرعية وتترك طفلها مع جدته او عمته التي تحبه مثل امه وتساعد زوجها لتحسين ظروفهما فلا يخفى عن احد متطلبات الحياة خصوصا بوجود الاطفال فكل ام تريد ان يلبس اطفالها ملابس جميلة وان يدرسو جيدا و ان يتعلمو اللغات و ان يسافرو ويلعبو وان توفر لهم كل ماحلمت به وحرمت منه طبعا إذا تعارض مع تربيتهم او طاعة الزوج فبيتها اولى
0,100014472790833,,Fati Ben,2022-10-09T07:28:54.000Z,"ما تقوله غير صحيح، احترم قرارات زوجتك و قراراتك ولكن هذه ليست قاعدة عامة. فأنا شخصيا أعمل بدوام كامل كما أنني أم و زوجة. أكيد شيء متعب، لكن ليس مستحيل أبداََ أن تجمع بين الإثنين.
فالمرأة نصف المجتمع، و ليس من الصالح العام أن يجلس نصف المجتمع عاطل عن الشغل ولا يساهم في اقتصاد وطنه وأسرته.
كما أن العنصر النسوي مهم جدا في عدة مجالات، أنت مثلا أو الزوجة ديالك لو احتجتما دكتورا، أنا متأكدة أنك ستبحت عن طبيبة وليس طبيب.."
0,100010563918948,https://www.facebook.com/people/%D8%AD%D8%B3%D8%A7%D9%85-%D8%A7%D9%85%D8%B1%D9%8A%D9%85%D9%88%D8%A7-%D8%A7%D9%84%D9%87%D9%8A%D8%A7%D8%B6%D9%8A/100010563918948/,حسام امريموا الهياضي,2022-10-02T22:44:32.000Z,ما لا يعرفه الكثير أن المرأة في البيت هي سر زوجها وملكة البيت والمستشارة الاولى لزوج وهي قوية بأنوتثها وحيائها وسترها ....
0,100003548597913,https://www.facebook.com/islami.dini.75,Azeroual Fatiha,2022-10-03T09:06:54.000Z,المرأة المسلمة لا تحتاج لنصائح دكاترة و أساتذة التنمية البشرية المرأة المسلمة يجب أن تعي بأن الزواج عبادة وباب للجنة للمراة المسلمة فخدمتها زوجها واهتمامها به و ببيتها كل ذلك عبادة ستؤجر عليها وكلما تفعله فلتفعله في سبيل نيل الاجر ومن أجل الحب بينها وبين زوجها بعيدا عن أفكار النسويات التخريبية
0,100045682084721,https://www.facebook.com/hassan.bakili.106,Hassan Bakili,2022-10-03T09:32:34.000Z,حفظكم الله ورعاكم وجزاكم الله خيرا نسأل الله أن يصلح حالنا جميعا
0,100027150363900,https://www.facebook.com/ilyass.mhs.3,Ilyass Ilyass,2022-10-15T11:34:49.000Z,عليه أفضل الصلاة والسلام
